PCODE,Weeks,KEY,Name,Population,Cases,Cumul_Cases,IR10000,Cumul_IR10000
ZMB_TW0001,5,ZMB_TW0001_5,Bauleni,29843,0,0,0,0
ZMB_TW0001,6,ZMB_TW0001_6,Bauleni,29843,0,0,0,0
ZMB_TW0001,7,ZMB_TW0001_7,Bauleni,29843,0,0,0,0
ZMB_TW0001,8,ZMB_TW0001_8,Bauleni,29843,0,0,0,0
ZMB_TW0001,9,ZMB_TW0001_9,Bauleni,29843,1,1,0.34,0.34
ZMB_TW0001,10,ZMB_TW0001_10,Bauleni,29843,16,17,5.36,5.7
ZMB_TW0001,11,ZMB_TW0001_11,Bauleni,29843,101,118,33.84,39.54
ZMB_TW0001,12,ZMB_TW0001_12,Bauleni,29843,72,190,24.13,63.67
ZMB_TW0001,13,ZMB_TW0001_13,Bauleni,29843,45,235,15.08,78.75
ZMB_TW0001,14,ZMB_TW0001_14,Bauleni,29843,21,256,7.04,85.78
ZMB_TW0001,15,ZMB_TW0001_15,Bauleni,29843,19,275,6.37,92.15
ZMB_TW0001,16,ZMB_TW0001_16,Bauleni,29843,3,278,1.01,93.15
ZMB_TW0001,17,ZMB_TW0001_17,Bauleni,29843,0,278,0,93.15
ZMB_TW0001,18,ZMB_TW0001_18,Bauleni,29843,0,278,0,93.15
ZMB_TW0001,19,ZMB_TW0001_19,Bauleni,29843,0,278,0,93.15
ZMB_TW0001,20,ZMB_TW0001_20,Bauleni,29843,0,278,0,93.15
ZMB_TW0002,5,ZMB_TW0002_5,Chibolya,3129,0,0,0,0
ZMB_TW0002,6,ZMB_TW0002_6,Chibolya,3129,0,0,0,0
ZMB_TW0002,7,ZMB_TW0002_7,Chibolya,3129,0,0,0,0
ZMB_TW0002,8,ZMB_TW0002_8,Chibolya,3129,0,0,0,0
ZMB_TW0002,9,ZMB_TW0002_9,Chibolya,3129,0,0,0,0
ZMB_TW0002,10,ZMB_TW0002_10,Chibolya,3129,0,0,0,0
ZMB_TW0002,11,ZMB_TW0002_11,Chibolya,3129,0,0,0,0
ZMB_TW0002,12,ZMB_TW0002_12,Chibolya,3129,1,1,3.2,3.2
ZMB_TW0002,13,ZMB_TW0002_13,Chibolya,3129,0,1,0,3.2
ZMB_TW0002,14,ZMB_TW0002_14,Chibolya,3129,0,1,0,3.2
ZMB_TW0002,15,ZMB_TW0002_15,Chibolya,3129,3,4,9.59,12.78
