lvl3_pcode;lvl3_name;lvl2_pcode;lvl2_name;lvl1_pcode;lvl1_name;week;year;OPD_CONSULT;OPD_CONSULT_c;OPD_M_CASES;OPD_M_CASES_c;IPD_DISCH;IPD_DISCH_c;IPD_M_DISCH;IPD_M_DISCH_c;IPD_M_DEATH;IPD_M_DEATH_c;MOH_CONSULT;MOH_CONSULT_c;MOH_M_CASES;MOH_M_CASES_c
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;1;2019;7;7;5;5;3;3;4;4;4;4;2;2;2;2
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;2;2019;6;13;1;1;2;2;2;2;1;1;4;4;5;5
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;3;2019;9;22;6;6;4;4;5;5;2;2;8;8;2;2
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;4;2019;2;24;3;3;5;5;2;2;0;0;5;5;5;5
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;5;2019;3;27;4;4;0;0;1;1;5;5;14;14;9;9
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;6;2019;5;32;0;0;4;4;4;4;1;1;0;0;8;8
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;7;2019;9;41;1;1;4;4;5;5;5;6;1;1;7;7
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;8;2019;15;56;10;10;2;2;3;3;2;2;15;15;4;4
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;9;2019;9;65;7;7;5;5;3;3;1;1;3;18;4;4
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;10;2019;3;68;6;6;2;2;1;1;0;0;7;7;3;3
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;11;2019;0;68;4;4;2;2;0;0;4;4;7;7;1;1
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;12;2019;2;70;8;8;0;0;4;4;0;0;7;7;2;2
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;13;2019;9;79;2;2;1;1;5;5;3;3;15;15;3;3
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;14;2019;10;89;9;9;5;5;1;1;1;1;7;7;7;7
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;15;2019;6;95;3;3;0;5;0;0;0;0;14;14;7;7
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;16;2019;9;104;7;7;2;2;4;4;5;5;7;7;1;1
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;17;2019;13;117;8;8;5;5;1;1;5;5;10;10;0;1
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;18;2019;11;128;10;10;4;4;5;5;1;1;9;9;8;8
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;19;2019;7;135;6;6;1;1;5;5;5;5;2;11;10;10
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;20;2019;7;142;10;10;0;0;5;5;3;3;0;11;1;1
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;21;2019;13;155;4;4;3;3;1;1;2;2;7;7;1;1
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;22;2019;14;169;8;8;5;5;1;1;1;1;3;10;6;6
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;23;2019;14;183;5;5;5;5;3;3;3;4;6;6;0;0
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;24;2019;7;190;5;5;1;1;5;8;1;1;4;4;7;7
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;25;2019;5;195;1;1;5;5;1;1;3;3;13;13;4;4
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;26;2019;13;208;4;4;4;4;5;5;3;3;2;2;1;5
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;27;2018;13;221;5;5;2;6;3;3;1;1;0;0;8;8
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;28;2018;15;236;8;8;0;0;2;2;0;0;8;8;5;5
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;29;2018;3;239;8;8;2;2;2;4;5;5;1;9;0;0
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;30;2018;14;253;3;3;4;4;2;2;3;3;14;23;5;5
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;31;2018;11;264;10;10;5;5;1;1;3;3;15;15;2;7
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;32;2018;13;277;3;3;0;0;3;3;3;3;2;2;9;16
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;33;2018;7;284;8;8;3;3;4;4;1;1;5;5;5;5
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;34;2018;6;290;10;10;3;3;4;4;5;6;5;10;0;0
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;35;2018;14;304;2;2;4;4;2;2;1;1;12;12;3;3
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;36;2018;12;316;10;10;0;0;0;0;4;4;2;2;8;8
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;37;2018;8;324;3;3;4;4;5;5;5;5;9;9;2;2
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;38;2018;2;326;8;8;2;6;0;0;3;3;8;8;8;8
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;39;2018;5;331;9;9;4;4;3;3;3;3;15;15;10;18
